customer_id,order_date,campaign_id,media_source,product_id
14,2018-10-19 05:58:49,4,Facebook,5
65,2016-04-13 09:16:01,4,Facebook,6
64,2016-08-15 10:18:54,4,Twitter,4
37,2017-04-03 11:40:02,4,Website-ads,11
73,2016-06-05 02:21:50,5,Facebook,9
22,2017-08-12 16:05:41,4,Website-ads,16
46,2016-06-05 05:56:36,4,Youtube,13
69,2018-07-30 22:54:16,4,Website-ads,15
37,2017-05-30 17:54:45,1,Website-ads,5
77,2017-01-06 03:10:15,4,E-mail,2
92,2016-02-12 05:39:21,7,Facebook,20
50,2017-08-26 20:10:06,9,Facebook,11
64,2017-10-26 11:48:46,6,Facebook,6
14,2016-07-10 10:31:03,9,Website-ads,15
64,2016-11-25 21:46:43,6,Facebook,10
49,2017-08-03 13:44:44,5,Website-ads,9
66,2016-11-25 08:10:18,2,Website-ads,16
59,2018-04-28 14:03:24,9,Youtube,12
84,2016-02-01 14:43:28,1,E-mail,3
5,2018-10-03 15:30:12,1,Website-ads,6
56,2017-09-01 07:09:40,7,Youtube,9
94,2016-01-14 12:47:09,6,E-mail,4
16,2018-11-13 20:15:25,5,Website-ads,9
40,2018-01-25 08:53:34,1,Youtube,18
53,2018-03-25 06:48:58,3,E-mail,4
70,2018-10-03 12:59:19,7,Website-ads,1
27,2018-01-22 02:50:20,4,Twitter,11
70,2017-12-10 20:44:02,9,Facebook,4
77,2018-10-26 14:10:54,5,E-mail,15
48,2018-04-29 20:32:16,3,Website-ads,8
37,2018-10-04 22:23:20,4,Website-ads,8
36,2017-11-02 07:27:27,9,E-mail,17
48,2016-01-29 06:25:37,9,Website-ads,18
89,2016-01-18 03:42:03,3,Youtube,11
69,2017-04-18 05:50:34,6,E-mail,13
58,2017-02-13 05:16:19,7,Twitter,20
75,2018-06-20 10:02:01,9,Facebook,11
94,2017-06-20 05:54:37,9,E-mail,13
63,2016-04-07 15:50:52,9,Twitter,17
26,2018-03-03 06:43:02,1,Twitter,19
50,2016-04-03 17:40:11,8,Twitter,15
7,2016-10-06 06:58:53,5,Youtube,4
89,2017-12-18 03:13:36,4,Facebook,8
41,2016-07-17 01:47:02,5,Facebook,13
24,2018-07-12 04:42:46,5,Facebook,19
19,2016-07-22 17:17:28,1,Facebook,18
97,2018-03-25 09:47:49,3,Youtube,8
26,2017-03-21 20:17:56,1,Website-ads,13
19,2017-08-28 05:49:16,9,Facebook,18
78,2018-02-14 05:59:36,3,Twitter,12
42,2017-12-06 06:01:17,4,Facebook,10
80,2016-06-07 08:53:47,4,Facebook,9
67,2018-06-20 11:32:34,4,Twitter,11
4,2016-10-29 22:38:16,4,Website-ads,3
90,2018-11-16 13:47:07,5,Facebook,1
27,2016-08-21 00:56:32,4,Website-ads,16
12,2016-06-25 05:40:09,4,Youtube,13
21,2017-03-14 08:40:03,4,Website-ads,14
75,2016-12-10 10:16:55,1,Website-ads,1
43,2017-02-10 14:07:07,4,E-mail,5
97,2018-08-12 15:38:21,7,Facebook,6
80,2018-04-07 01:58:32,9,Facebook,12
51,2018-06-25 21:33:12,6,Facebook,16
75,2016-10-14 14:05:49,9,Website-ads,17
30,2016-07-27 20:36:34,6,Facebook,15
67,2018-08-16 17:12:33,5,Website-ads,15
32,2017-08-14 09:35:00,2,Website-ads,11
58,2017-10-22 19:21:29,9,Youtube,18
35,2017-04-16 10:07:23,1,E-mail,11
27,2017-05-23 00:35:38,1,Website-ads,7
84,2017-12-20 21:01:10,7,Youtube,15
94,2018-11-18 12:05:40,6,E-mail,2
21,2017-11-12 07:31:03,5,Website-ads,19
35,2017-06-08 01:40:31,1,Youtube,7
93,2018-11-01 19:51:25,3,E-mail,7
23,2017-02-01 14:17:46,7,Website-ads,9
25,2018-08-26 05:01:38,4,Twitter,8
49,2016-12-05 20:32:57,9,Facebook,3
35,2018-02-17 01:43:48,5,E-mail,20
44,2017-07-19 17:45:37,3,Website-ads,5
24,2018-06-10 06:08:05,4,Website-ads,4
22,2017-05-21 12:50:09,9,E-mail,13
83,2016-07-04 17:30:59,9,Website-ads,19
70,2017-01-08 07:41:57,3,Youtube,12
54,2016-12-14 14:05:04,6,E-mail,20
85,2016-08-17 01:02:28,7,Twitter,16
72,2018-12-05 07:34:46,9,Facebook,12
63,2016-10-02 08:57:42,9,E-mail,1
55,2016-10-13 19:23:11,9,Twitter,10
15,2017-04-14 19:00:08,1,Twitter,10
64,2018-10-31 03:57:24,8,Twitter,7
17,2016-06-28 19:25:45,5,Youtube,9
23,2016-01-18 16:10:39,4,Facebook,11
75,2018-08-05 04:42:06,5,Facebook,8
16,2018-01-15 20:19:33,5,Facebook,13
16,2017-04-18 21:52:41,1,Facebook,1
29,2018-04-28 13:06:05,3,Youtube,14
36,2016-09-29 18:12:16,1,Website-ads,19
85,2018-10-18 16:34:19,9,Facebook,4
70,2017-04-24 20:42:31,3,Twitter,5
