order_id,product_id,quantity
6639,33,90
8983,50,23
5183,15,19
9849,93,91
7700,32,46
8549,76,49
9518,20,72
5152,36,45
5921,89,72
5921,3,98
8870,71,89
8614,84,41
8386,25,16
8386,37,59
5515,15,84
5515,77,72
8058,78,2
5924,100,74
7181,33,87
6701,28,3
6701,5,61
8231,91,9
5629,86,69
5629,97,16
6471,27,32
6471,83,55
9506,8,53
7714,44,12
7321,14,62
7663,23,60
5616,30,31
7147,84,65
7147,82,8
8461,70,15
6666,9,93
5277,70,100
8542,48,68
9648,65,36
7486,7,72
7459,44,28
5294,31,57
9959,47,9
9593,7,96
9177,48,85
8565,22,83
8565,59,81
5019,13,97
7026,47,82
7026,1,35
8928,63,42
8928,74,2
9575,63,33
9607,45,19
9607,55,14
8587,56,41
9507,47,20
9801,86,95
9801,35,96
9826,43,67
8550,27,84
8550,65,96
9846,94,76
9846,53,61
6407,42,69
6407,73,12
5750,98,90
5750,87,27
5056,17,47
5056,39,28
6764,12,30
5895,67,29
5492,82,38
9799,94,26
8204,51,82
9726,36,55
9726,25,28
9490,10,61
7039,54,45
7039,15,68
7538,14,95
6706,49,22
6706,31,26
8153,2,35
8153,57,12
8581,84,18
7994,57,82
7994,82,60
7660,97,17
7660,80,55
5866,62,55
7385,4,14
7385,52,21
7022,91,45
7398,90,36
7398,84,25
9876,100,79
9876,88,32
9061,40,19
9061,38,1
5440,70,72
5440,43,87
6611,5,55
5253,58,3
5253,70,69
9535,91,91
9925,88,21
9925,21,45
8615,83,52
8448,67,39
6816,87,48
6816,36,60
7911,24,27
6939,52,56
8289,40,70
8289,94,51
6290,14,91
6662,17,24
7779,31,21
7414,26,8
8315,55,16
5064,37,48
5064,71,49
9630,2,66
6282,2,38
8589,3,25
8589,55,59
6275,8,17
7682,74,30
7634,38,82
7634,69,61
5677,28,15
5108,64,23
6449,12,68
6449,63,15
7953,87,41
7570,38,86
5417,70,2
9225,70,7
6444,84,26
6444,78,18
8839,37,66
8839,35,77
5329,15,11
9673,58,28
9673,21,50
9281,39,67
8528,36,96
8528,34,82
6296,92,4
6383,43,52
6383,67,32
5427,82,10
6825,17,38
8285,22,61
8285,66,99
8626,22,51
6996,76,86
6996,34,96
6678,42,77
6678,84,47
5759,98,21
6204,4,75
7972,4,32
6190,25,63
7987,63,42
8655,6,9
6391,4,17
6391,16,69
5142,29,54
5142,85,100
9681,98,6
9994,45,96
8167,2,7
8167,90,59
6321,91,96
6321,48,86
8906,73,26
8906,52,16
5674,86,40
5674,38,31
5854,46,79
9880,44,21
9880,96,54
6011,21,84
9853,98,97
9853,26,91
8120,54,63
7559,2,82
5862,29,54
6167,38,35
6840,28,45
8810,60,56
6871,69,10
9904,44,60
9904,55,13
7738,78,54
9635,1,33
9635,3,14
9848,60,34
9848,28,83
8455,91,37
8455,31,60
5838,35,96
6683,19,79
8850,21,60
5485,52,50
5485,64,6
5491,84,47
5033,19,68
5033,58,86
9970,20,85
6907,27,95
6265,43,94
7404,94,53
7912,86,30
5493,37,20
7485,17,25
8287,52,43
5048,72,14
5048,41,33
8029,20,72
7575,35,61
9483,94,9
7300,13,87
9790,79,8
9790,80,26
6556,17,91
6556,41,44
5782,63,73
5782,30,30
9670,60,14
7980,64,45
7980,90,1
5047,86,24
6118,33,63
7854,26,94
8875,91,16
8875,38,14
6328,20,15
6905,86,6
6440,67,78
6440,91,27
6612,63,17
5509,96,4
5509,97,7
8402,38,91
8402,3,88
8782,73,89
8782,62,76
8602,79,56
8602,92,31
6935,78,73
8070,59,6
8800,46,54
8931,64,66
7646,72,76
